660,1.76,9.50
1920,6.16,26.00
480,0.81,6.50
480,1.27,7.00
1020,1.56,11.50
300,1.04,5.50
1620,6.39,24.50
900,1.79,11.50
360,0.81,6.00
300,1.00,6.00
720,1.51,9.00
300,0.88,5.50
780,1.83,10.50
660,1.75,9.00
660,1.72,9.50
1260,2.49,14.00
1260,2.75,15.00
360,1.09,6.00
960,1.06,10.50
420,1.26,7.00
1020,2.74,13.00
300,0.64,5.50
780,2.28,11.00
840,2.09,11.00
720,0.46,8.50
480,1.31,8.00
1200,3.61,15.50
480,1.52,7.50
1260,8.65,26.50
840,1.66,10.00
300,0.56,5.00
600,1.98,9.50
480,1.11,7.00
1080,1.82,12.50
360,0.99,6.00
2040,8.10,29.00
720,2.51,11.00
480,0.76,6.00
540,1.42,8.00
660,1.65,9.00
540,0.93,6.50
420,1.14,6.50
360,1.40,7.00
780,1.72,10.00
600,0.59,7.00
780,2.13,10.50
720,1.48,9.50
960,2.12,12.00
1020,1.03,10.50
660,1.61,9.00
420,1.32,7.00
540,1.00,8.00
360,0.81,5.50
1020,2.09,12.00
660,2.56,10.00
780,1.58,10.00
300,0.75,5.00
1140,2.44,13.50
3600,19.34,52.00
1560,3.10,17.00
840,5.46,17.50
420,1.16,6.50
2340,17.69,52.00
3960,21.36,52.00
300,1.07,5.50
1320,2.69,15.50
600,1.69,8.00
360,0.69,5.50
1140,2.06,13.00
600,2.05,9.00
540,1.32,7.50
600,0.91,8.00
360,1.10,6.50
600,1.99,9.50
1080,1.86,12.00
360,0.65,5.50
600,1.71,9.00
240,0.92,5.00
660,1.81,9.00
1320,4.77,19.50
3180,17.39,52.00
180,0.92,5.00
1080,4.88,18.00
600,1.81,9.00
1080,1.83,12.50
240,0.73,5.00
1320,2.61,15.00
0,0.00,52.00
1200,3.38,15.00
2400,16.74,52.00
300,1.09,6.00
600,2.83,11.00
360,0.68,5.50
420,1.56,7.50
540,1.07,7.50
3060,17.60,52.00
780,0.88,9.50
360,1.55,7.00
300,0.97,6.00
1080,2.82,14.00
840,1.94,10.50
540,1.30,8.00
720,1.12,9.00
720,2.18,10.50
660,1.28,8.50
600,4.64,15.00
420,1.33,6.50
600,0.96,7.50
960,3.27,14.00
360,1.04,6.50
180,0.77,4.50
480,0.73,6.50
1140,7.03,22.00
120,0.44,3.50
2040,15.90,44.50
720,1.01,9.00
900,2.27,11.00
720,1.38,9.50
1020,2.15,13.00
600,1.63,8.50
660,2.16,9.50
180,0.43,4.00
720,1.33,9.00
120,0.57,4.00
600,1.38,8.50
180,0.78,4.50
660,1.81,9.00
540,1.04,7.50
1440,8.46,28.00
900,1.70,11.50
660,1.87,9.00
