240,0.58,4.50,BAD
180,0.30,3.50,BAD
360,1.89,7.50,BAD
240,0.95,5.00,BAD
360,0.82,5.50,BAD
420,2.71,9.50,GOOD
300,1.21,6.00,BAD
2160,10.56,34.50,VERYGOOD
120,0.38,4.00,BAD
420,2.09,8.00,BAD
1620,12.14,35.50,VERYGOOD
960,4.24,15.50,GOOD
300,0.81,5.50,BAD
360,1.42,6.50,BAD
480,1.92,8.50,BAD
180,0.76,5.00,BAD
240,1.05,5.50,BAD
300,0.91,5.50,BAD
300,0.94,5.50,BAD
420,1.77,8.00,BAD
420,1.48,7.00,BAD
840,3.21,13.00,GOOD
240,0.97,5.50,BAD
360,1.20,6.00,BAD
420,2.71,9.50,GOOD
540,2.37,9.50,GOOD
660,4.59,15.00,GOOD
1200,16.09,43.00,VERYGOOD
300,1.03,6.00,BAD
960,4.76,16.00,GOOD
480,1.50,7.50,BAD
600,3.28,12.00,GOOD
660,2.84,11.00,GOOD
300,1.14,6.00,BAD
420,1.75,7.50,BAD
540,2.80,10.00,GOOD
120,0.83,4.50,BAD
480,1.95,8.50,BAD
1800,7.71,27.50,VERYGOOD
120,0.39,4.00,BAD
360,1.60,7.00,BAD
480,2.92,10.50,GOOD
480,2.06,8.50,BAD
1260,15.89,43.00,VERYGOOD
360,0.44,5.50,BAD
3060,16.70,52.00,VERYGOOD
1080,5.10,18.00,VERYGOOD
1860,16.64,47.00,VERYGOOD
1500,6.75,23.00,VERYGOOD
180,0.88,4.50,BAD
900,2.58,12.00,GOOD
720,4.83,15.00,GOOD
1260,5.52,19.50,VERYGOOD
240,1.14,5.50,BAD
180,0.73,4.50,BAD
360,1.62,7.50,BAD
300,0.97,5.50,BAD
120,0.68,4.00,BAD
600,2.47,11.00,GOOD
600,2.05,9.50,GOOD
240,1.65,6.50,BAD
1560,18.45,52.00,VERYGOOD
120,0.54,4.00,BAD
1080,6.03,19.50,VERYGOOD
360,1.49,7.00,BAD
660,3.12,12.00,GOOD
480,1.78,8.00,BAD
720,2.15,10.50,GOOD
180,0.68,4.00,BAD
600,2.76,10.00,GOOD
900,2.32,9.00,BAD
300,0.96,5.50,BAD
960,5.10,17.00,VERYGOOD
240,1.11,5.50,BAD
240,1.67,6.50,BAD
180,0.86,5.00,BAD
180,1.38,6.00,BAD
1500,5.86,22.00,VERYGOOD
660,3.17,11.50,GOOD
2100,7.17,20.50,VERYGOOD
660,2.16,10.00,GOOD
600,2.93,10.50,GOOD
1020,8.39,25.00,VERYGOOD
480,2.07,9.00,BAD
660,3.19,11.50,GOOD
480,1.81,8.00,BAD
420,1.59,7.50,BAD
420,1.21,7.00,BAD
300,0.52,4.50,BAD
360,1.57,7.50,BAD
360,1.35,7.00,BAD
1080,5.53,18.00,VERYGOOD
1560,6.13,22.50,VERYGOOD
600,3.33,11.50,GOOD
240,1.45,6.00,BAD
660,4.52,14.50,GOOD
1620,10.31,31.00,VERYGOOD
600,2.06,9.50,GOOD
1320,14.10,38.50,VERYGOOD
420,1.98,7.50,BAD
360,1.31,6.50,BAD
540,1.68,8.00,BAD
360,1.61,7.50,BAD
840,5.38,17.00,VERYGOOD
300,0.95,5.50,BAD
1380,5.84,21.50,VERYGOOD
780,0.89,25.00,VERYGOOD
540,2.87,10.50,GOOD
360,1.81,7.50,BAD
600,2.39,10.50,GOOD
780,3.56,13.50,GOOD
120,0.89,4.50,BAD
